Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/51957872_2239611452978711_1220914182523515451_n.jpg,6,Titanium KeyBar - Image 6,,,,,,
brass-keybar,Brass KeyBar,"Solid brass. Sure it's a little heavier than some of our other options, but the classic styling and finish will never fade out of style. Stand out from the crowd and keep all your essentials together and protected with the KeyBar that defines craftsmanship. <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a titanium pocket clip in the color of your choice</li> <li>(2) custom designed stainless steel heat colored 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel heat colored 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel heat colored 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> </li> </ul> <h3>Will my keys fit?</h3> Use the following dimensions to find out: <ul> <li > <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li > <ul> <li>Less than 4 ounces</li> <li>Less than 8 house keys</li> </ul> </li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li > <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 28 keys and inserts with extension screws</li> </ul> </li> </ul> </li> </ul> <div class=""box""> <strong>Add-Ons</strong> <a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a> <a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a> </div> </div> </div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, brass EDC key holder, brass key holder, brass KeyBar, key organizer",TRUE,Title,Default Title,,,,,BRSKB,131,shopify,0,deny,manual,86.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2019/11/Brass-Updated-November-2025-KeyBar-Key-Organizer-EDC-Tool.jpg,1,Brass KeyBar,FALSE,Brass KeyBar,<ul> <li>100% Real Brass</li> <li>Heavyweight & Durable</li> <li>Stonewashed finish</li> <li>Note: May Experience Patina</li> </ul>,,g,active
brass-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Photo-Oct-22-10-26-13-AM-scaled.jpg,2,Brass KeyBar - Image 2,,,,,,
brass-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Photo-Dec-29-9-31-33-AM-scaled.jpg,3,Brass KeyBar - Image 3,,,,,,
brass-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Brasss-KeyBar2.jpg,4,Brass KeyBar - Image 4,,,,,,
brass-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Brass-KeyBar-With-Custom-Challenge-Coin.jpg,5,Brass KeyBar - Image 5,,,,,,
brass-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Brasss-KeyBar3.jpg,6,Brass KeyBar - Image 6,,,,,,
comb-20-insert,Comb 2.0 Insert,"<p>Updated lightweight, durable titanium comb features a flip tab for easy access and a flathead end. Use it for your beard or hair. Keep a comb on-the-go for when the need to sharpen up your look arises.</p> <ul> <li>Total length: 2 1/2 in</li> <li>Comb portion length: 1 3/4 in</li> </ul>",KeyBar,,Insert,"All Products, Inserts, EDC key holder accessories, EDC key tools, key organizer accessory, key organizer insert",TRUE,Title,Default Title,,,,,ACS-TCMB,4,shopify,0,deny,manual,14.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2019/01/Titanium-Beard-Comb-2.0-Insert-for-KeyBar-Key-Organizer-EDC-Tool-White-Background.png,1,Comb 2.0 Insert,FALSE,Comb 2.0 Insert,<p>The updated beard comb insert from KeyBar! New design for maximum comfort and even more durability.</p>,,g,active
comb-20-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/12/Titanium-Comb-insert-for-KeyBar.jpg,2,Comb 2.0 Insert - Image 2,,,,,,
comb-20-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/12/Titanium-Comb-insert-for-KeyBar2.jpg,3,Comb 2.0 Insert - Image 3,,,,,,
comb-20-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/12/Titanium-Comb-insert-for-KeyBar3.jpg,4,Comb 2.0 Insert - Image 4,,,,,,
comb-20-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2022/10/Updated-Anodized-Tool-Insert-Color-Options.jpg,5,Comb 2.0 Insert - Image 5,,,,,,
spare-key-fob-link,Spare Key Fob Link,Most cars today require a fob. KeyBar's titanium key fob link allows you to carry your key fob along with your car and other keys. NOTE: Each KeyBar includes a key fob link; purchase this listing for additional key fob links.,KeyBar,,Insert,"All Products, Inserts > Hardware/Parts, Inserts, fob link, key fob link, key organizer fob link",TRUE,Title,Default Title,,,,,ACS-FOB,0,shopify,0,deny,manual,1.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2015/08/Titanium-Key-Fob-Link.png,1,Spare Key Fob Link,FALSE,Spare Key Fob Link,Most cars today require a fob. KeyBar's titanium key fob link allows you to carry your key fob along with your car and other keys. NOTE: Each KeyBar® includes a key fob link; purchase this listing for additional key fob links.,,g,active
spare-key-fob-link,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2022/10/Updated-Anodized-Tool-Insert-Color-Options.jpg,2,Spare Key Fob Link - Image 2,,,,,,
freedom-aluminum-keybar,Freedom Aluminum KeyBar,"<p>Get organized and Stop the Noise with our full sized Aluminum Freedom KeyBar. Made of high-end aircraft-grade aluminum and engraved with an American Flag on the front side and the preamble to the US Constitution on the back. Represent your patriotism with one of these bad boys as your EDC organizer.</p><div class=""row""> <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a removable titanium pocket clip in the color of your choice</li> <li>(2) custom designed stainless steel 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> </li> </ul> <h3>Will my keys fit?</h3> <p>Use the following dimensions to find out:</p> <ul> <li > <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li > <ul> <li>Less than 2 ounces</li> <li>Less than 4 house keys</li> </ul> </li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li > <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 28 keys and inserts with extension screws</li> </ul> </li> </ul> </li> </ul> <div class=""box""> <p><strong>Add-Ons:</strong></p> <p><a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a><br><a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a></p> </div> </div> </div></div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, Custom key organizer, edc key organizer, laser engraved key holder",TRUE,Title,Default Title,,,,,AKB-FRDM,77,shopify,0,deny,manual,46.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2016/01/Freedom-Aluminum-KeyBar-Updated-New-Screws.jpg,1,Freedom Aluminum KeyBar,FALSE,Freedom Aluminum KeyBar,<ul> <li>Patriot themed engraving with American Flag on the front and US Constitution on the back</li> <li>New Hand-rubbed satin finish</li> <li>Aircraft-grade aluminum</li> </ul>,,g,active
freedom-aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/01/Aluminum-Freedom-Update-1.jpg,2,Freedom Aluminum KeyBar - Image 2,,,,,,
freedom-aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/01/Aluminum-Freedom-Update-2.jpg,3,Freedom Aluminum KeyBar - Image 3,,,,,,
freedom-aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/01/Aluminum-Freedom-Update-3.jpg,4,Freedom Aluminum KeyBar - Image 4,,,,,,
copper-keybar,Copper KeyBar,"Copper is the third most used industrial metal in the world and has been used by mankind for over 8000 years. A heavy, durable, and elegant material. It may not maintain it's glorious shine forever, but it's durability and rigidity will always remain. Enjoy the class of a Stonewashed Copper KeyBar in your pocket and keep your essentials together. <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a titanium pocket clip in the color of your choice</li> <li>Comes with Heat Colored Screws</li> <li>(2) custom designed stainless steel 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> </li> </ul> <h3>Will my keys fit?</h3> Use the following dimensions to find out: <ul> <li > <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li > <ul> <li>About 4 ounces</li> <li>About 8 house keys</li> </ul> </li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li > <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 28 keys and inserts with extension screws</li> </ul> </li> </ul> </li> </ul> <div class=""box""> <strong>Add-Ons</strong> <a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a> <a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a> </div> </div> </div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, copper key organizer, edc copper key holder, EDC key tool, key organizer",TRUE,Title,Default Title,,,,,CPRKB,136,shopify,0,deny,manual,86.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2019/11/Copper-Updated-November-2025-KeyBar-Key-Organizer-EDC-Tool.jpg,1,Copper KeyBar,FALSE,Copper KeyBar,<ul> <li>Heavy & Durable</li> <li>Note: Will Experience Patina</li> <li>Stonewashed finish</li> <li>Made of 100% Copper</li> </ul>,,g,active
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/04/Photo-Dec-07-2022-11-53-28-AM-scaled.jpg,2,Copper KeyBar - Image 2,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/04/Photo-Sep-27-10-43-53-AM-scaled.jpg,3,Copper KeyBar - Image 3,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/04/52646729_1204081419756201_6943040861119950097_n.jpg,4,Copper KeyBar - Image 4,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/04/Photo-Dec-19-2022-10-19-38-AM-scaled.jpg,5,Copper KeyBar - Image 5,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/04/Photo-Oct-28-3-52-59-PM-scaled.jpg,6,Copper KeyBar - Image 6,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/04/51441856_382938808963238_7363814098664830528_n.jpg,7,Copper KeyBar - Image 7,,,,,,
copper-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/04/IG_Picture_Copper.jpg,8,Copper KeyBar - Image 8,,,,,,
slayer-titanium-keybar,Slayer Titanium KeyBar,"Want to keep it simple with a little flare? The Slayer Titanium KeyBar does just that. It's deeply carved pattern on both sides adds a rugged appeal and the satin finish of the natural titanium doesn't overdo it. It's truly a crowd pleaser. Likewise, the carved finish allows for a ""quick check"" when doing that every day carry pat down to make sure you have all your essentials with you. Plus, it's made of 100% titanium so you know it's durable and long lasting. <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a removable titanium pocket clip</li> <li>Comes with Custom SS Screws</li> <li>(2) custom designed stainless steel 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> </li> </ul> <h3>Will my keys fit?</h3> Use the following dimensions to find out: <ul> <li > <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li > <ul> <li>Less than 2 ounces</li> <li>Less than 4 house keys</li> </ul> </li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li > <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 28 keys and inserts with extension screws</li> </ul> </li> </ul> </li> </ul> <div class=""box""> <strong>Add-Ons</strong> <a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a> <a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a> </div> </div> </div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, All Products > Most Popular, KeyBar Slayer Model With Titanium, Slayer KeyBar, titanium KeyBar",TRUE,Title,Default Title,,,,,SLYR-TKB,86,shopify,0,deny,manual,94.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2017/01/Slayer-Titanium-KeyBar-Updated.jpg,1,Slayer Titanium KeyBar,FALSE,Slayer Titanium KeyBar,<ul> <li>Popular Seller</li> <li>CNC Milled Titanium</li> <li>Hand-Sanded Front & Back</li> <li>Includes Custom SS Screws</li> </ul>,,g,active
slayer-titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/09/Photo-Jul-28-11-50-47-AM-scaled.jpg,2,Slayer Titanium KeyBar - Image 2,,,,,,
slayer-titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2021/06/Photo-Jul-16-12-07-00-PM-1-scaled.jpg,3,Slayer Titanium KeyBar - Image 3,,,,,,
slayer-titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/01/Photo-Oct-18-9-41-39-AM-scaled.jpg,4,Slayer Titanium KeyBar - Image 4,,,,,,
slayer-titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/01/53117286_184832802493924_5833023158221550676_n.jpg,5,Slayer Titanium KeyBar - Image 5,,,,,,
slayer-titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/01/EDC-Pocket-Dump-Featuring-Slayer-KeyBar-Key-Holder.jpg,6,Slayer Titanium KeyBar - Image 6,,,,,,
pick-insert,Pick Insert,Titanium pick specially designed for the KeyBar.,KeyBar,,Insert,"All Products, Inserts, EDC pick, KeyBar pick accessory, pick insert for KeyBar",TRUE,Title,Default Title,,,,,ACS-PICK,4,shopify,0,deny,manual,8.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2019/02/Slim-Pick-Insert-in-Use-with-KeyBar-Key-Organizer-EDC-Tool.png,1,Pick Insert,FALSE,Pick Insert,"Titanium pick specially designed for the KeyBar. Perfect for detailed pick work, eating, punching leather, you name it. Pairs great with our <a href=""/products/titanium-tweezers/"">Titanium Tweezers</a>!",,g,active
pick-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/04/KeyBar-Pick.jpg,2,Pick Insert - Image 2,,,,,,
pick-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/04/KeyBar-Pick2.jpg,3,Pick Insert - Image 3,,,,,,
pick-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2017/04/KeyBar-Pick1.jpg,4,Pick Insert - Image 4,,,,,,
pick-insert,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2022/10/Updated-Anodized-Tool-Insert-Color-Options.jpg,5,Pick Insert - Image 5,,,,,,
quick-draw-revolving-pen-holder-billet-aluminum,Quick Draw Revolving Pen Holder - Billet Aluminum,"<p>Get organized with the revolver inspired aluminum rotating pen (or anything else!) holder. Made in the USA.</p> <p>KeyBar's Quick Draw revolving desk organizer helps you show off/organize your desk tools in style. Can be used as a pen holder, tool holder, art supplies holder, etc.</p> <p>The spinning action is achieved using high-end skateboard ball bearings allowing for a smooth and long-lasting action. With 8 different slots, you can store a vast assortment of pens and tools that you need at the ready. Together this makes the Quick Draw an amazing desk organization display, conversation piece, and fidget-spinner for those moments at your desk that you just need to spin some more ideas into your thought process.</p> <ul > <li>Made from a 3 inch 6061 billet aluminum block </li> <li>8 Pen holes measuring - .625 inch in diameter </li> <li>4 inch overall height</li> <li>Total weight: 23.25oz</li> </ul> <figure ><div > https://www.youtube.com/embed/q7wE0UoqjSI </div></figure>",KeyBar,,Gear,"All Products, More Cool Gear, All Products > Most Popular, pen holder, quick draw holder, rotating pen holder, tool holder",TRUE,Title,Default Title,,,,,OP-QD-AL,648,shopify,16,deny,manual,96.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2018/05/Quick-Draw-Main-Pic.jpg,1,Quick Draw Revolving Pen Holder - Billet Aluminum,FALSE,Quick Draw Revolving Pen Holder - Billet Aluminum,"<ul> <li><span style=""color: #000000;"">Made from a 3 inch 6061 billet aluminum block </span></li> <li><span style=""color: #000000;"">8 Pen holes measuring - </span><span style=""color: #000000;"">.625 inch in diameter</span></li> <li><span style=""color: #000000;"">4 inch overall height</span></li> <li>Total weight: 23.25oz",,g,active
quick-draw-revolving-pen-holder-billet-aluminum,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2018/05/Photo-Jan-25-2-49-14-PM-scaled.jpg,2,Quick Draw Revolving Pen Holder - Billet Aluminum - Image 2,,,,,,
